
Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
xebel_mcp 127.0.0.1 2369      10000.0   3.11      0.97      30.4      17        52.25     links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
simple_mcp                    10000.0   2.93      1.01      29.2      17        9.23      links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
xebel_mcp 127.0.0.1 2369      10000.0   3.15      0.98      29.6      17        52.18     links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
simple_mcp                    10000.0   3.17      0.98      27.8      7         9.49      links     flowset   500  
net.traffic.name:flowset, 
xebel-eval, descr:sag, routing_method:simple_mcp, avg_cap:10000.0, avg_util_rate:0.35, std_util_rate:0.35, avg_util_delay:13.65, std_util_delay:12.78, avg_flow_delay:4.0, avg_flow_rate:30, rej_rate:20.0, first_rej:8, elapsed:1.3, n_flows:50, net.topology.name:links, net.traffic.name:flowset, 
2024-04-09 13:09:07.005663descr:sag, routing_method:simple_mcp, avg_cap:10000.0, avg_util_rate:0.33, std_util_rate:0.24, avg_util_delay:14.12, std_util_delay:9.34, avg_flow_delay:2.0, avg_flow_rate:3, rej_rate:14.0, first_rej:3, elapsed:1.02, n_flows:50, net.topology.name:links, net.traffic.name:flowset, 
2024-04-09 13:39:36.235077, descr:simple, routing_method:simple_mcp, avg_cap:2025.0, avg_util_rate:3.87, std_util_rate:2.35, avg_util_delay:36.68, std_util_delay:22.34, avg_flow_delay:4.0, avg_flow_rate:14, rej_rate:11.0, first_rej:12, elapsed:2.46, n_flows:100, net.topology.name:links, net.traffic.name:flowset, 
2024-04-09 13:50:05.126459, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:2025.0, avg_util_rate:4.22, std_util_rate:2.87, avg_util_delay:40.03, std_util_delay:26.72, avg_flow_delay:12.0, avg_flow_rate:31, rej_rate:14.0, first_rej:0, elapsed:10.44, n_flows:100, net.topology.name:links, net.traffic.name:100, 
2024-04-09 13:55:13.213134, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:2025.0, avg_util_rate:4.55, std_util_rate:2.94, avg_util_delay:42.99, std_util_delay:28.19, avg_flow_delay:10.0, avg_flow_rate:4, rej_rate:11.0, first_rej:2, elapsed:10.59, n_flows:100, net.topology.name:links, net.traffic.name:100, 
2024-04-09 13:55:30.644250, descr:xebel-1.0-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:2025.0, avg_util_rate:4.97, std_util_rate:3.02, avg_util_delay:46.38, std_util_delay:28.9, avg_flow_delay:10.0, avg_flow_rate:4, rej_rate:12.0, first_rej:2, elapsed:10.76, n_flows:100, net.topology.name:links, net.traffic.name:100, 
2024-04-09 13:55:47.907541, descr:xebel-1.0-23.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:2025.0, avg_util_rate:4.43, std_util_rate:2.92, avg_util_delay:42.8, std_util_delay:30.22, avg_flow_delay:10.0, avg_flow_rate:4, rej_rate:11.0, first_rej:2, elapsed:10.71, n_flows:100, net.topology.name:links, net.traffic.name:100, 
2024-04-09 13:55:50.914014, descr:simple, routing_method:simple_mcp, avg_cap:2025.0, avg_util_rate:3.96, std_util_rate:2.84, avg_util_delay:37.09, std_util_delay:25.94, avg_flow_delay:10.0, avg_flow_rate:4, rej_rate:12.0, first_rej:2, elapsed:2.25, n_flows:100, net.topology.name:links, net.traffic.name:100, 
2024-04-09 13:56:50.274889, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:10125.0, avg_util_rate:3.2, std_util_rate:1.06, avg_util_delay:250.13, std_util_delay:127.79, avg_flow_delay:4.0, avg_flow_rate:45, rej_rate:29.0, first_rej:5, elapsed:52.36, n_flows:500, net.topology.name:links, net.traffic.name:500, 
2024-04-09 13:57:49.365031, descr:xebel-1.0-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:10125.0, avg_util_rate:3.18, std_util_rate:1.09, avg_util_delay:248.68, std_util_delay:131.55, avg_flow_delay:4.0, avg_flow_rate:45, rej_rate:29.2, first_rej:5, elapsed:52.35, n_flows:500, net.topology.name:links, net.traffic.name:500, 
2024-04-09 13:58:47.754016, descr:xebel-1.0-23.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:10125.0, avg_util_rate:3.29, std_util_rate:1.08, avg_util_delay:257.3, std_util_delay:134.67, avg_flow_delay:4.0, avg_flow_rate:45, rej_rate:28.4, first_rej:5, elapsed:51.64, n_flows:500, net.topology.name:links, net.traffic.name:500, 
2024-04-09 13:58:58.261636, descr:simple, routing_method:simple_mcp, avg_cap:10125.0, avg_util_rate:3.04, std_util_rate:1.09, avg_util_delay:226.37, std_util_delay:106.31, avg_flow_delay:4.0, avg_flow_rate:45, rej_rate:26.8, first_rej:5, elapsed:9.76, n_flows:500, net.topology.name:links, net.traffic.name:500, 
2024-04-09 14:00:49.455313, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:20250.0, avg_util_rate:2.33, std_util_rate:0.63, avg_util_delay:479.31, std_util_delay:242.83, avg_flow_delay:10.0, avg_flow_rate:34, rej_rate:46.4, first_rej:7, elapsed:104.1, n_flows:1000, net.topology.name:links, net.traffic.name:1000, 
